,Waktu,pipi,alis,Pipi,Alis
389,21:29.0,53,559,0.258789063,2.729492188
390,21:29.0,52,552,0.25390625,2.6953125
391,21:29.0,54,550,0.263671875,2.685546875
392,21:29.0,53,543,0.258789063,2.651367188
393,21:29.0,53,541,0.258789063,2.641601563
394,21:29.0,53,542,0.258789063,2.646484375
395,21:29.0,53,544,0.258789063,2.65625
396,21:29.0,53,549,0.258789063,2.680664063
397,21:29.0,53,552,0.258789063,2.6953125
398,21:29.0,53,557,0.258789063,2.719726563
399,21:29.0,53,562,0.258789063,2.744140625
400,21:29.0,53,570,0.258789063,2.783203125
401,21:29.0,53,577,0.258789063,2.817382813
402,21:29.0,54,587,0.263671875,2.866210938
403,21:29.0,52,590,0.25390625,2.880859375
404,21:29.0,53,588,0.258789063,2.87109375
405,21:29.0,53,585,0.258789063,2.856445313
406,21:29.0,53,589,0.258789063,2.875976563
407,21:29.0,55,603,0.268554688,2.944335938
408,21:29.0,54,613,0.263671875,2.993164063
409,21:29.0,54,604,0.263671875,2.94921875
410,21:29.0,55,594,0.268554688,2.900390625
411,21:29.0,54,597,0.263671875,2.915039063
412,21:29.0,56,610,0.2734375,2.978515625
413,21:29.0,55,623,0.268554688,3.041992188
414,21:29.0,55,636,0.268554688,3.10546875
415,21:29.1,55,639,0.268554688,3.120117188
416,21:29.1,54,630,0.263671875,3.076171875
417,21:29.1,53,628,0.258789063,3.06640625
418,21:29.1,55,644,0.268554688,3.14453125
419,21:29.1,55,666,0.268554688,3.251953125
420,21:29.1,55,676,0.268554688,3.30078125
421,21:29.1,55,679,0.268554688,3.315429688
422,21:29.1,54,681,0.263671875,3.325195313
423,21:29.1,56,684,0.2734375,3.33984375
424,21:29.1,55,685,0.268554688,3.344726563
425,21:29.1,56,687,0.2734375,3.354492188
426,21:29.1,55,694,0.268554688,3.388671875
427,21:29.1,55,702,0.268554688,3.427734375
428,21:29.1,55,722,0.268554688,3.525390625
429,21:29.1,56,756,0.2734375,3.69140625
430,21:29.1,56,792,0.2734375,3.8671875
431,21:29.1,55,820,0.268554688,4.00390625
432,21:29.1,55,837,0.268554688,4.086914063
433,21:29.1,55,848,0.268554688,4.140625
434,21:29.1,56,859,0.2734375,4.194335938
435,21:29.1,55,868,0.268554688,4.23828125
436,21:29.1,56,882,0.2734375,4.306640625
437,21:29.1,56,900,0.2734375,4.39453125
438,21:29.1,55,920,0.268554688,4.4921875
439,21:29.1,56,924,0.2734375,4.51171875
440,21:29.1,56,920,0.2734375,4.4921875
441,21:29.1,56,921,0.2734375,4.497070313
442,21:29.1,55,922,0.268554688,4.501953125
443,21:29.1,55,922,0.268554688,4.501953125
444,21:29.2,57,922,0.278320313,4.501953125
445,21:29.2,56,923,0.2734375,4.506835938
446,21:29.2,56,923,0.2734375,4.506835938
447,21:29.2,56,924,0.2734375,4.51171875
448,21:29.2,55,924,0.268554688,4.51171875
449,21:29.2,55,923,0.268554688,4.506835938
450,21:29.2,55,924,0.268554688,4.51171875
451,21:29.2,56,922,0.2734375,4.501953125
452,21:29.2,55,921,0.268554688,4.497070313
453,21:29.2,54,922,0.263671875,4.501953125
454,21:29.2,54,921,0.263671875,4.497070313
455,21:29.2,55,922,0.268554688,4.501953125
456,21:29.2,54,923,0.263671875,4.506835938
457,21:29.2,55,923,0.268554688,4.506835938
458,21:29.2,55,923,0.268554688,4.506835938
459,21:29.2,55,924,0.268554688,4.51171875
460,21:29.2,56,923,0.2734375,4.506835938
461,21:29.2,56,921,0.2734375,4.497070313
462,21:29.2,56,922,0.2734375,4.501953125
463,21:29.2,55,922,0.268554688,4.501953125
464,21:29.2,54,923,0.263671875,4.506835938
465,21:29.2,56,921,0.2734375,4.497070313
466,21:29.2,56,923,0.2734375,4.506835938
467,21:29.2,54,923,0.263671875,4.506835938
468,21:29.2,56,923,0.2734375,4.506835938
469,21:29.2,55,924,0.268554688,4.51171875
470,21:29.2,54,924,0.263671875,4.51171875
471,21:29.2,54,923,0.263671875,4.506835938
472,21:29.2,55,922,0.268554688,4.501953125
473,21:29.2,55,921,0.268554688,4.497070313
474,21:29.3,54,921,0.263671875,4.497070313
475,21:29.3,53,920,0.258789063,4.4921875
476,21:29.3,56,922,0.2734375,4.501953125
477,21:29.3,54,923,0.263671875,4.506835938
478,21:29.3,55,923,0.268554688,4.506835938
479,21:29.3,55,924,0.268554688,4.51171875
480,21:29.3,54,924,0.263671875,4.51171875
